3;271;293
6;582;587
10;905;929
16;1324;1388
18;1855;1997
24;2473;2606
30;3152;3336
40;3963;4190
48;4838;5135
59;5834;6210
3;257;273
6;511;549
9;866;919
13;1300;1407
19;1848;1945
27;2444;2609
30;4340;3364
39;3937;4202
44;4873;5142
57;8034;6223
3;254;272
6;513;549
10;1200;913
13;1306;1410
18;1843;1944
25;2459;2656
34;3140;3364
37;3946;4199
51;6279;5139
52;5843;6202
3;253;273
6;515;547
9;1039;927
14;1333;1410
21;1881;1948
24;2435;2598
35;3162;3353
36;3936;4235
46;6478;5158
55;5853;6175
3;254;273
6;513;559
9;881;924
13;1416;1406
18;2067;2034
26;2647;2732
30;3474;3488
37;3992;4249
47;4971;5141
60;5842;6233
